siren,type_bilan,date_cloture_exercice,chiffre_d_affaires,marge_brute,ebe,ebit,resultat_net,taux_d_endettement
441545951,C,2021-12-31 00:00:00,50851784000,50851784000,50851784000,0,2542803080,0
441545951,C,2020-12-31 00:00:00,25385840292,25338694626,116256917,0,0,0
348607417,K,2023-12-31 00:00:00,4068797000,3619690000,479870000,319900000,0,5.542
348607417,K,2022-12-31 00:00:00,3783100000,3783100000,941200000,419581000,457525000,0
348607417,K,2021-12-31 00:00:00,2925180000,2616955000,394418000,288157000,207889000,12.85
348607417,K,2019-12-31 00:00:00,2623990000,2399120000,322236000,260770000,0,0
348607417,K,2020-12-31 00:00:00,2331925000,2105153000,213016000,0,97786000,6.484
348607417,K,2018-12-31 00:00:00,2269885000,2458808000,4296984000,224005000,160608000,0
348607417,K,2017-12-31 00:00:00,1975427000,1975427000,1975427000,0,148320000,0
348607417,K,2016-12-31 00:00:00,1748306000,1748306000,524034000,157389000,112746000,0
348607417,C,2022-12-31 00:00:00,618058000,618058000,-6440000,6445000,87570000,18.81
348607417,C,2021-12-31 00:00:00,542173000,542173000,4293000,7216000,96836000,20.913
348607417,C,2018-12-31 00:00:00,536421000,536421000,12482000,21202000,78266000,22.713
955200928,K,2023-12-31 00:00:00,523002764,77140052,13154606,12008791,6583745,94.764
348607417,C,2020-12-31 00:00:00,510177000,510177000,-33052000,-16094000,31611000,18.358
348607417,C,2016-12-31 00:00:00,505595000,505595000,307951000,34298000,54545000,199.794
955200928,K,2020-12-31 00:00:00,399267729,62852969,4702540,4233230,2161898,183.575
955200928,K,2021-12-31 00:00:00,399081092,67497132,6800118,6461005,6076286,130.148
955200928,K,2019-12-31 00:00:00,363592331,61823919,6490245,5556685,2999580,140.465
955200928,K,2018-12-31 00:00:00,302310223,53411945,6104160,5372570,3006081,76.409
955200928,K,2016-12-31 00:00:00,293545000,49031380,5169044,4433104,2778347,78.044
955200928,K,2017-12-31 00:00:00,287017970,49380899,4928157,4194413,2581199,72.352
955200928,C,2021-12-31 00:00:00,4235069,4234659,1533022,1272149,1815686,18.266
955200928,C,2023-12-31 00:00:00,4189755,4111884,1068204,908808,3581431,51.931
955200928,C,2022-12-31 00:00:00,4134707,4070575,1191443,1038733,1324480,16.069
955200928,C,2020-12-31 00:00:00,3896306,3878035,1449078,1171143,1853083,21.329
955200928,C,2019-12-31 00:00:00,3591192,3578649,1188685,922186,1293768,29.944
955200928,C,2017-12-31 00:00:00,3426646,3419534,1422511,1173492,1515710,30.999
955200928,C,2018-12-31 00:00:00,3356668,3349790,1229136,982541,1298835,29.667
955200928,C,2016-12-31 00:00:00,3083536,3072707,883463,650377,1156796,31.185
